Name,District,Type,Description
RISE ACADEMY,152802,I,CHARTER SCHOOL DISTRICTS
RISING STAR ISD,067908,H,RURAL
RIVER ROAD ISD,188902,D,OTHER CENTRAL CITY SUBURBAN
RIVERCREST ISD,194903,H,RURAL
RIVIERA ISD,137903,H,RURAL
ROBERT LEE ISD,041902,H,RURAL
ROBINSON ISD,161922,D,OTHER CENTRAL CITY SUBURBAN
ROBSTOWN ISD,178909,G,NON-METROPOLITAN STABLE
ROBY CISD,076903,H,RURAL
ROCHELLE ISD,160904,H,RURAL
ROCKDALE ISD,166904,G,NON-METROPOLITAN STABLE
ROCKSPRINGS ISD,069901,H,RURAL
ROCKWALL ISD,199901,D,OTHER CENTRAL CITY SUBURBAN
ROGERS ISD,014907,H,RURAL
ROMA ISD,214903,E,INDEPENDENT TOWN
ROOSEVELT ISD,152908,D,OTHER CENTRAL CITY SUBURBAN
ROPES ISD,110905,H,RURAL
ROSCOE COLLEGIATE ISD,177901,F,NON-METROPOLITAN FAST GROWING
ROSEBUD-LOTT ISD,073905,H,RURAL
ROTAN ISD,076904,H,RURAL
ROUND ROCK ISD,246909,B,MAJOR SUBURBAN
ROUND TOP-CARMINE ISD,075908,H,RURAL
ROXTON ISD,139908,H,RURAL
ROYAL ISD,237905,D,OTHER CENTRAL CITY SUBURBAN
ROYSE CITY ISD,199902,D,OTHER CENTRAL CITY SUBURBAN
RULE ISD,104903,H,RURAL
RUNGE ISD,128903,H,RURAL
RUSK ISD,037907,G,NON-METROPOLITAN STABLE
S AND S CISD,091914,H,RURAL
SABINAL ISD,232902,H,RURAL
SABINE ISD,092906,D,OTHER CENTRAL CITY SUBURBAN
SABINE PASS ISD,123913,F,NON-METROPOLITAN FAST GROWING
SAINT JO ISD,169911,H,RURAL
SALADO ISD,014908,D,OTHER CENTRAL CITY SUBURBAN
SALTILLO ISD,112909,H,RURAL
SAM RAYBURN ISD,074917,H,RURAL
SAN ANGELO ISD,226903,C,OTHER CENTRAL CITY
SAN ANTONIO ISD,015907,A,MAJOR URBAN
SAN ANTONIO SCHOOL FOR INQUIRY & C,015820,I,CHARTER SCHOOL DISTRICTS
SAN ANTONIO TECHNOLOGY ACADEMY,015823,I,CHARTER SCHOOL DISTRICTS
SAN AUGUSTINE ISD,203901,H,RURAL
SAN BENITO CISD,031912,D,OTHER CENTRAL CITY SUBURBAN
SAN DIEGO ISD,066902,G,NON-METROPOLITAN STABLE
SAN ELIZARIO ISD,071904,B,MAJOR SUBURBAN
SAN FELIPE-DEL RIO CISD,233901,E,INDEPENDENT TOWN
SAN ISIDRO ISD,214902,H,RURAL
SAN MARCOS CISD,105902,C,OTHER CENTRAL CITY
SAN PERLITA ISD,245904,H,RURAL
SAN SABA ISD,206901,H,RURAL
SAN VICENTE ISD,022903,H,RURAL
SANDS CISD,058909,H,RURAL
SANFORD-FRITCH ISD,117903,H,RURAL
SANGER ISD,061908,D,OTHER CENTRAL CITY SUBURBAN
SANTA ANNA ISD,042903,H,RURAL
SANTA FE ISD,084909,D,OTHER CENTRAL CITY SUBURBAN
SANTA GERTRUDIS ISD,137904,F,NON-METROPOLITAN FAST GROWING
SANTA MARIA ISD,031913,H,RURAL
SANTA ROSA ISD,031914,G,NON-METROPOLITAN STABLE
SANTO ISD,182904,H,RURAL
SAVOY ISD,074911,H,RURAL
SCHERTZ-CIBOLO-U CITY ISD,094902,C,OTHER CENTRAL CITY
SCHLEICHER ISD,207901,H,RURAL
SCHOOL OF EXCELLENCE IN EDUCATION,015806,I,CHARTER SCHOOL DISTRICTS
SCHOOL OF SCIENCE AND TECHNOLOGY,015827,I,CHARTER SCHOOL DISTRICTS
SCHOOL OF SCIENCE AND TECHNOLOGY D,015831,I,CHARTER SCHOOL DISTRICTS
SCHULENBURG ISD,075903,H,RURAL
SCURRY-ROSSER ISD,129910,D,OTHER CENTRAL CITY SUBURBAN
SEAGRAVES ISD,083901,H,RURAL
SEALY ISD,008902,D,OTHER CENTRAL CITY SUBURBAN
SEASHORE CHARTER SCHOOLS,178808,I,CHARTER SCHOOL DISTRICTS
SEGUIN ISD,094901,D,OTHER CENTRAL CITY SUBURBAN
SEMINOLE ISD,083903,G,NON-METROPOLITAN STABLE
SER-NINOS CHARTER SCHOOL,101802,I,CHARTER SCHOOL DISTRICTS
SEYMOUR ISD,012901,H,RURAL
SHALLOWATER ISD,152909,D,OTHER CENTRAL CITY SUBURBAN
SHAMROCK ISD,242902,F,NON-METROPOLITAN FAST GROWING
