County,District,Name,Code,Institution,Students
ANGELINA ,LUFKIN ISD ,LUFKIN H S ,003903001,TEXAS STATE UNIVERSITY (003615) ,7
ANGELINA ,LUFKIN ISD ,LUFKIN H S ,003903001,KILGORE COLLEGE (003580) ,6
ANGELINA ,LUFKIN ISD ,LUFKIN H S ,003903001,Other Pub/Ind 4-yr Institution (18) ,37
ANGELINA ,LUFKIN ISD ,LUFKIN H S ,003903001,Other Pub/Ind 2-yr Institution (7) ,8
ANGELINA ,LUFKIN ISD ,LUFKIN H S ,003903001,Not trackable ,13
ANGELINA ,LUFKIN ISD ,LUFKIN H S ,003903001,Not found ,214
ANGELINA ,LUFKIN ISD ,LUFKIN H S ,003903001,Total high school graduates ,479
,,,,,
ANGELINA ,LUFKIN ISD ,STUBBLEFIELD LRN CTR ,003903004,Other Pub/Ind 2-yr Institution (1) ,3
ANGELINA ,LUFKIN ISD ,STUBBLEFIELD LRN CTR ,003903004,Not trackable ,2
ANGELINA ,LUFKIN ISD ,STUBBLEFIELD LRN CTR ,003903004,Not found ,26
ANGELINA ,LUFKIN ISD ,STUBBLEFIELD LRN CTR ,003903004,Total high school graduates ,31
,,,,,
ANGELINA ,PINEYWOODS COMMUNITY ACADEMY ,PINEYWOODS COMMUNITY ACADEMY H S ,003801001,STEPHEN F. AUSTIN STATE UNIV (003624) ,10
ANGELINA ,PINEYWOODS COMMUNITY ACADEMY ,PINEYWOODS COMMUNITY ACADEMY H S ,003801001,ANGELINA COLLEGE (006661) ,9
ANGELINA ,PINEYWOODS COMMUNITY ACADEMY ,PINEYWOODS COMMUNITY ACADEMY H S ,003801001,Other Pub/Ind 4-yr Institution (1) ,2
ANGELINA ,PINEYWOODS COMMUNITY ACADEMY ,PINEYWOODS COMMUNITY ACADEMY H S ,003801001,Not found ,19
ANGELINA ,PINEYWOODS COMMUNITY ACADEMY ,PINEYWOODS COMMUNITY ACADEMY H S ,003801001,Total high school graduates ,40
,,,,,
ANGELINA ,ZAVALLA ISD ,ZAVALLA H S ,003906001,ANGELINA COLLEGE (006661) ,17
ANGELINA ,ZAVALLA ISD ,ZAVALLA H S ,003906001,Other Pub/Ind 4-yr Institution (2) ,3
ANGELINA ,ZAVALLA ISD ,ZAVALLA H S ,003906001,Not found ,20
ANGELINA ,ZAVALLA ISD ,ZAVALLA H S ,003906001,Total high school graduates ,40
,,,,,
ARANSAS ,ARANSAS COUNTY ISD ,ROCKPORT-FULTON H S ,004901001,DEL MAR COLLEGE (003563) ,32
ARANSAS ,ARANSAS COUNTY ISD ,ROCKPORT-FULTON H S ,004901001,TEXAS A&M UNIV-CORPUS CHRISTI (011161) ,17
ARANSAS ,ARANSAS COUNTY ISD ,ROCKPORT-FULTON H S ,004901001,TEXAS A&M UNIVERSITY (003632) ,10
ARANSAS ,ARANSAS COUNTY ISD ,ROCKPORT-FULTON H S ,004901001,TEXAS STATE UNIVERSITY (003615) ,7
ARANSAS ,ARANSAS COUNTY ISD ,ROCKPORT-FULTON H S ,004901001,BLINN COLLEGE (003549) ,5
ARANSAS ,ARANSAS COUNTY ISD ,ROCKPORT-FULTON H S ,004901001,Other Pub/Ind 4-yr Institution (11) ,21
ARANSAS ,ARANSAS COUNTY ISD ,ROCKPORT-FULTON H S ,004901001,Other Pub/Ind 2-yr Institution (5) ,5
ARANSAS ,ARANSAS COUNTY ISD ,ROCKPORT-FULTON H S ,004901001,Not trackable ,5
ARANSAS ,ARANSAS COUNTY ISD ,ROCKPORT-FULTON H S ,004901001,Not found ,107
ARANSAS ,ARANSAS COUNTY ISD ,ROCKPORT-FULTON H S ,004901001,Total high school graduates ,209
,,,,,
ARCHER ,ARCHER CITY ISD ,ARCHER CITY H S ,005901001,MIDWESTERN STATE UNIVERSITY (003592) ,7
ARCHER ,ARCHER CITY ISD ,ARCHER CITY H S ,005901001,VERNON COLLEGE (010060) ,6
ARCHER ,ARCHER CITY ISD ,ARCHER CITY H S ,005901001,Other Pub/Ind 4-yr Institution (5) ,7
ARCHER ,ARCHER CITY ISD ,ARCHER CITY H S ,005901001,Other Pub/Ind 2-yr Institution (2) ,2
ARCHER ,ARCHER CITY ISD ,ARCHER CITY H S ,005901001,Not found ,17
ARCHER ,ARCHER CITY ISD ,ARCHER CITY H S ,005901001,Total high school graduates ,39
,,,,,
ARCHER ,HOLLIDAY ISD ,HOLLIDAY H S ,005902001,VERNON COLLEGE (010060) ,7
ARCHER ,HOLLIDAY ISD ,HOLLIDAY H S ,005902001,MIDWESTERN STATE UNIVERSITY (003592) ,6
ARCHER ,HOLLIDAY ISD ,HOLLIDAY H S ,005902001,Other Pub/Ind 4-yr Institution (10) ,14
ARCHER ,HOLLIDAY ISD ,HOLLIDAY H S ,005902001,Other Pub/Ind 2-yr Institution (4) ,4
ARCHER ,HOLLIDAY ISD ,HOLLIDAY H S ,005902001,Not found ,22
ARCHER ,HOLLIDAY ISD ,HOLLIDAY H S ,005902001,Total high school graduates ,53
,,,,,
ARCHER ,WINDTHORST ISD ,WINDTHORST H S ,005904001,VERNON COLLEGE (010060) ,6
ARCHER ,WINDTHORST ISD ,WINDTHORST H S ,005904001,MIDWESTERN STATE UNIVERSITY (003592) ,5
ARCHER ,WINDTHORST ISD ,WINDTHORST H S ,005904001,Other Pub/Ind 4-yr Institution (2) ,2
ARCHER ,WINDTHORST ISD ,WINDTHORST H S ,005904001,Other Pub/Ind 2-yr Institution (2) ,4
ARCHER ,WINDTHORST ISD ,WINDTHORST H S ,005904001,Not trackable ,6
ARCHER ,WINDTHORST ISD ,WINDTHORST H S ,005904001,Not found ,15
ARCHER ,WINDTHORST ISD ,WINDTHORST H S ,005904001,Total high school graduates ,38
,,,,,
ATASCOSA ,CHARLOTTE ISD ,CHARLOTTE H S ,007901001,Other Pub/Ind 4-yr Institution (5) ,6
ATASCOSA ,CHARLOTTE ISD ,CHARLOTTE H S ,007901001,Other Pub/Ind 2-yr Institution (3) ,7
ATASCOSA ,CHARLOTTE ISD ,CHARLOTTE H S ,007901001,Not found ,22
ATASCOSA ,CHARLOTTE ISD ,CHARLOTTE H S ,007901001,Total high school graduates ,35
,,,,,
ATASCOSA ,JOURDANTON ISD ,JOURDANTON H S ,007902001,ALAMO CCD PALO ALTO COLLEGE (023413) ,14
ATASCOSA ,JOURDANTON ISD ,JOURDANTON H S ,007902001,TEXAS STATE UNIVERSITY (003615) ,11
ATASCOSA ,JOURDANTON ISD ,JOURDANTON H S ,007902001,TEXAS A&M UNIVERSITY (003632) ,5
ATASCOSA ,JOURDANTON ISD ,JOURDANTON H S ,007902001,Other Pub/Ind 4-yr Institution (14) ,23
ATASCOSA ,JOURDANTON ISD ,JOURDANTON H S ,007902001,Other Pub/Ind 2-yr Institution (8) ,14
ATASCOSA ,JOURDANTON ISD ,JOURDANTON H S ,007902001,Not trackable ,2
ATASCOSA ,JOURDANTON ISD ,JOURDANTON H S ,007902001,Not found ,45
ATASCOSA ,JOURDANTON ISD ,JOURDANTON H S ,007902001,Total high school graduates ,114
,,,,,
ATASCOSA ,LYTLE ISD ,LYTLE H S ,007904001,ALAMO CCD PALO ALTO COLLEGE (023413) ,30
ATASCOSA ,LYTLE ISD ,LYTLE H S ,007904001,U. OF TEXAS AT SAN ANTONIO (010115) ,7
ATASCOSA ,LYTLE ISD ,LYTLE H S ,007904001,Other Pub/Ind 4-yr Institution (9) ,13
ATASCOSA ,LYTLE ISD ,LYTLE H S ,007904001,Other Pub/Ind 2-yr Institution (4) ,6
ATASCOSA ,LYTLE ISD ,LYTLE H S ,007904001,Not trackable ,1
ATASCOSA ,LYTLE ISD ,LYTLE H S ,007904001,Not found ,77
ATASCOSA ,LYTLE ISD ,LYTLE H S ,007904001,Total high school graduates ,134
,,,,,
ATASCOSA ,PLEASANTON ISD ,PLEASANTON H S ,007905001,ALAMO CCD PALO ALTO COLLEGE (023413) ,20
ATASCOSA ,PLEASANTON ISD ,PLEASANTON H S ,007905001,U. OF TEXAS AT SAN ANTONIO (010115) ,9
ATASCOSA ,PLEASANTON ISD ,PLEASANTON H S ,007905001,UNIV OF THE INCARNATE WORD (003578) ,6
ATASCOSA ,PLEASANTON ISD ,PLEASANTON H S ,007905001,Other Pub/Ind 4-yr Institution (16) ,35
ATASCOSA ,PLEASANTON ISD ,PLEASANTON H S ,007905001,Other Pub/Ind 2-yr Institution (6) ,11
ATASCOSA ,PLEASANTON ISD ,PLEASANTON H S ,007905001,Not trackable ,6
ATASCOSA ,PLEASANTON ISD ,PLEASANTON H S ,007905001,Not found ,126
ATASCOSA ,PLEASANTON ISD ,PLEASANTON H S ,007905001,Total high school graduates ,213
,,,,,
ATASCOSA ,POTEET ISD ,POTEET H S ,007906001,ALAMO CCD PALO ALTO COLLEGE (023413) ,22
ATASCOSA ,POTEET ISD ,POTEET H S ,007906001,Other Pub/Ind 4-yr Institution (8) ,13
ATASCOSA ,POTEET ISD ,POTEET H S ,007906001,Other Pub/Ind 2-yr Institution (6) ,8
ATASCOSA ,POTEET ISD ,POTEET H S ,007906001,Not found ,75
ATASCOSA ,POTEET ISD ,POTEET H S ,007906001,Total high school graduates ,118
,,,,,
AUSTIN ,BELLVILLE ISD ,BELLVILLE H S ,008901001,BLINN COLLEGE (003549) ,40
AUSTIN ,BELLVILLE ISD ,BELLVILLE H S ,008901001,TEXAS A&M UNIVERSITY (003632) ,9
AUSTIN ,BELLVILLE ISD ,BELLVILLE H S ,008901001,TEXAS STATE UNIVERSITY (003615) ,9
AUSTIN ,BELLVILLE ISD ,BELLVILLE H S ,008901001,U. OF TEXAS AT AUSTIN (003658) ,6
AUSTIN ,BELLVILLE ISD ,BELLVILLE H S ,008901001,Other Pub/Ind 4-yr Institution (11) ,20
AUSTIN ,BELLVILLE ISD ,BELLVILLE H S ,008901001,Other Pub/Ind 2-yr Institution (9) ,12
AUSTIN ,BELLVILLE ISD ,BELLVILLE H S ,008901001,Not trackable ,6
AUSTIN ,BELLVILLE ISD ,BELLVILLE H S ,008901001,Not found ,46
AUSTIN ,BELLVILLE ISD ,BELLVILLE H S ,008901001,Total high school graduates ,148
,,,,,
AUSTIN ,BRAZOS ISD ,BRAZOS H S ,008903001,WHARTON COUNTY JUNIOR COLLEGE (003668) ,13
AUSTIN ,BRAZOS ISD ,BRAZOS H S ,008903001,Other Pub/Ind 4-yr Institution (5) ,6
