YEAR,DISTRICT ID,CAMPUS ID,ENROLLMENT,GT,CTE,LEP,BIL,ESL,DISADV,SPED
2015,57905.0,57905353.0,1351.0,156.0,157.0,688.0,6.0,607.0,1203.0,145.0
2015,108912.0,108912045.0,938.0,133.0,146.0,497.0,4.0,486.0,923.0,72.0
2015,97902.0,97902102.0,377.0,15.0,4.0,22.0,4.0,21.0,209.0,43.0
2015,43902.0,43902001.0,705.0,20.0,658.0,15.0,4.0,15.0,262.0,56.0
2015,43902.0,43902104.0,344.0,4.0,4.0,73.0,69.0,4.0,184.0,44.0
2015,220908.0,220908120.0,665.0,24.0,4.0,75.0,4.0,75.0,87.0,45.0
2015,43902.0,43902041.0,621.0,25.0,4.0,27.0,4.0,27.0,231.0,69.0
2015,57905.0,57905280.0,1137.0,126.0,4.0,676.0,629.0,28.0,984.0,62.0
2015,15808.0,15808009.0,137.0,4.0,4.0,4.0,4.0,4.0,4.0,20.0
2015,108904.0,108904126.0,466.0,7.0,4.0,329.0,329.0,4.0,436.0,20.0
2015,220908.0,220908124.0,342.0,19.0,4.0,76.0,4.0,75.0,170.0,30.0
2015,246904.0,246904101.0,531.0,5.0,4.0,220.0,128.0,89.0,371.0,74.0
2015,225902.0,225902102.0,543.0,26.0,4.0,271.0,221.0,18.0,438.0,37.0
2015,57905.0,57905110.0,669.0,46.0,4.0,376.0,345.0,4.0,625.0,38.0
2015,227806.0,227806017.0,11.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0
2015,127901.0,127901101.0,356.0,16.0,4.0,5.0,4.0,5.0,244.0,30.0
2015,127901.0,127901001.0,190.0,14.0,177.0,4.0,4.0,4.0,108.0,23.0
2015,21902.0,21902115.0,730.0,28.0,4.0,369.0,357.0,17.0,711.0,49.0
2015,57905.0,57905164.0,714.0,88.0,4.0,497.0,469.0,4.0,628.0,43.0
2015,127901.0,127901041.0,168.0,14.0,76.0,5.0,4.0,5.0,110.0,21.0
2015,232903.0,232903104.0,678.0,27.0,4.0,58.0,51.0,4.0,523.0,71.0
2015,71906.0,71906101.0,487.0,14.0,4.0,158.0,111.0,4.0,487.0,43.0
2015,71906.0,71906001.0,211.0,23.0,95.0,27.0,4.0,23.0,211.0,24.0
2015,71906.0,71906041.0,174.0,8.0,52.0,34.0,4.0,28.0,171.0,19.0
2015,101907.0,101907058.0,1224.0,47.0,371.0,59.0,4.0,50.0,600.0,116.0
2015,110901.0,110901001.0,241.0,10.0,79.0,11.0,4.0,11.0,177.0,20.0
2015,240903.0,240903053.0,1260.0,137.0,276.0,489.0,83.0,466.0,1114.0,95.0
2015,71902.0,71902103.0,574.0,27.0,4.0,449.0,423.0,4.0,499.0,89.0
2015,186902.0,186902104.0,375.0,4.0,4.0,62.0,48.0,4.0,266.0,14.0
2015,57916.0,57916050.0,642.0,45.0,271.0,45.0,4.0,45.0,359.0,70.0
2015,228905.0,228905101.0,119.0,12.0,4.0,4.0,4.0,4.0,68.0,12.0
2015,228905.0,228905001.0,83.0,16.0,51.0,4.0,4.0,4.0,49.0,17.0
2015,220905.0,220905055.0,299.0,75.0,95.0,37.0,4.0,36.0,163.0,12.0
2015,109912.0,109912001.0,275.0,31.0,92.0,6.0,4.0,6.0,144.0,22.0
2015,101907.0,101907051.0,1548.0,158.0,465.0,67.0,4.0,57.0,473.0,104.0
2015,205901.0,205901001.0,497.0,15.0,444.0,32.0,4.0,30.0,291.0,53.0
2015,57916.0,57916101.0,545.0,73.0,4.0,87.0,4.0,86.0,184.0,59.0
2015,61902.0,61902047.0,894.0,119.0,394.0,33.0,4.0,31.0,152.0,79.0
2015,57905.0,57905105.0,706.0,74.0,4.0,427.0,391.0,4.0,634.0,30.0
2015,5901.0,5901101.0,252.0,12.0,4.0,6.0,4.0,4.0,116.0,30.0
2015,5901.0,5901001.0,233.0,25.0,137.0,4.0,4.0,4.0,63.0,25.0
2015,191901.0,191901106.0,430.0,4.0,4.0,4.0,4.0,4.0,78.0,31.0
2015,61910.0,61910001.0,711.0,97.0,457.0,5.0,4.0,5.0,66.0,40.0
2015,61910.0,61910042.0,295.0,41.0,4.0,4.0,4.0,4.0,30.0,24.0
2015,61910.0,61910041.0,347.0,64.0,4.0,4.0,4.0,4.0,32.0,24.0
2015,101803.0,101803041.0,406.0,4.0,4.0,26.0,4.0,22.0,75.0,19.0
2015,101803.0,101803001.0,133.0,4.0,4.0,5.0,4.0,5.0,25.0,11.0
2015,79907.0,79907133.0,728.0,12.0,4.0,395.0,139.0,250.0,457.0,31.0
2015,220802.0,220802101.0,540.0,4.0,4.0,20.0,4.0,17.0,83.0,17.0
2015,220802.0,220802102.0,517.0,4.0,4.0,32.0,4.0,26.0,94.0,26.0
2015,220802.0,220802040.0,335.0,4.0,32.0,12.0,4.0,11.0,69.0,11.0
2015,220901.0,220901011.0,120.0,13.0,120.0,16.0,4.0,15.0,112.0,4.0
2015,220901.0,220901001.0,2844.0,436.0,1811.0,280.0,4.0,259.0,1476.0,212.0
2015,220905.0,220905002.0,1831.0,295.0,739.0,83.0,4.0,83.0,775.0,121.0
2015,46902.0,46902110.0,339.0,32.0,4.0,6.0,4.0,6.0,66.0,19.0
2015,84910.0,84910125.0,921.0,85.0,4.0,291.0,54.0,227.0,352.0,92.0
2015,84910.0,84910111.0,499.0,37.0,4.0,68.0,4.0,66.0,163.0,45.0
2015,159901.0,159901121.0,445.0,39.0,4.0,139.0,134.0,4.0,260.0,20.0
2015,105906.0,105906045.0,692.0,74.0,4.0,83.0,4.0,81.0,417.0,70.0
2015,108913.0,108913042.0,802.0,49.0,267.0,180.0,4.0,174.0,550.0,74.0
2015,71902.0,71902054.0,740.0,100.0,137.0,170.0,4.0,139.0,644.0,70.0
2015,170902.0,170902107.0,694.0,5.0,4.0,423.0,375.0,41.0,638.0,50.0
