YEAR,CAMPUS ID,HIGH SCHOOL STUDENTS,NOT FOUND,NOT TRACKABLE
2015,,0,0,0
2015,57905003.0,95,30,5
2015,,0,0,0
2015,57905034.0,217,117,8
2015,,0,0,0
2015,57905001.0,351,169,48
2015,,0,0,0
2015,57905023.0,173,95,5
2015,,0,0,0
2015,57905090.0,50,9,3
2015,,0,0,0
2015,57905028.0,178,64,44
2015,,0,0,0
2015,57905013.0,76,41,11
2015,,0,0,0
2015,57905017.0,238,120,49
2015,,0,0,0
2015,57905006.0,283,104,43
2015,,0,0,0
2015,57905035.0,59,19,2
2015,,0,0,0
2015,57905032.0,99,51,7
2015,,0,0,0
2015,57905389.0,53,38,8
2015,,0,0,0
2015,57905038.0,103,21,6
2015,,0,0,0
2015,57905008.0,284,136,29
2015,,0,0,0
2015,57905085.0,75,20,3
2015,,0,0,0
2015,57905012.0,170,93,22
2015,,0,0,0
2015,57905009.0,112,67,9
2015,,0,0,0
2015,57905005.0,427,173,53
2015,,0,0,0
2015,57905024.0,214,88,35
2015,,0,0,0
2015,57905037.0,69,11,6
2015,,0,0,0
2015,57905039.0,62,27,1
2015,,0,0,0
2015,57905033.0,105,22,6
2015,,0,0,0
2015,57905036.0,120,17,4
2015,,0,0,0
2015,57905026.0,81,20,7
2015,,0,0,0
2015,57905015.0,259,150,27
2015,,0,0,0
2015,57905025.0,"1,012",392,115
2015,,0,0,0
2015,57905016.0,214,113,15
2015,,0,0,0
2015,57905018.0,407,172,44
2015,,0,0,0
2015,57905007.0,252,105,63
2015,,0,0,0
2015,57905088.0,101,22,10
2015,,0,0,0
2015,57905002.0,265,101,30
2015,,0,0,0
2015,57905021.0,466,194,64
2015,,0,0,0
2015,57905014.0,296,171,55
2015,,0,0,0
2015,57905380.0,193,90,17
2015,,0,0,0
2015,57905022.0,333,138,33
2015,,0,0,0
2015,57906001.0,678,330,20
2015,,0,0,0
2015,57907001.0,812,325,28
2015,,0,0,0
2015,57907004.0,38,27,3
2015,,0,0,0
2015,57806101.0,38,16,1
2015,,0,0,0
2015,57834003.0,62,49,6
2015,,0,0,0
2015,57834001.0,126,84,19
2015,,0,0,0
2015,57817101.0,41,19,0
2015,,0,0,0
2015,57909002.0,579,246,43
2015,,0,0,0
2015,57909005.0,502,182,23
2015,,0,0,0
2015,57909006.0,167,128,22
2015,,0,0,0
