YEAR,CAMPUS ID,CAMPUS NAME,DISTRICT ID,SAT PARTICIPATION RATE,SAT MATH,SAT ERW
2015,15915022,Stevens H S,15915,51.0,447.0,442.0
2015,15915023,Brandeis H S,15915,71.2,509.0,501.0
2015,15915024,Brennan H S,15915,65.0,472.0,471.0
2015,15916001,Judson H S,15916,98.7,440.0,429.0
2015,15916003,Judson Learning Acad,15916,3.1,445.0,420.0
2015,15916008,Karen Wagner H S,15916,100.0,399.0,383.0
2015,15916009,Judson Early College Academy,15916,100.0,526.0,525.0
2015,15917001,Southside H S,15917,96.0,408.0,375.0
2015,16901001,Lyndon B Johnson H S,16901,65.3,477.0,482.0
2015,16902001,Blanco H S,16902,29.0,483.0,483.0
2015,18901001,Clifton H S,18901,43.6,509.0,503.0
2015,18902001,Meridian H S,18902,54.8,478.0,456.0
2015,18903001,Morgan School,18903,37.5,400.0,400.0
2015,18904001,Valley Mills H S,18904,65.0,433.0,456.0
2015,18905003,Walnut Springs School,18905,16.7,515.0,490.0
2015,18906001,Iredell School,18906,80.0,478.0,454.0
2015,18907001,Kopperl School,18907,40.0,467.0,467.0
2015,18908001,Cranfills Gap School,18908,21.4,497.0,460.0
2015,19901001,Dekalb H S,19901,3.2,580.0,580.0
2015,19903001,Maud School,19903,4.8,,
2015,19905001,New Boston H S,19905,3.0,580.0,567.0
2015,19906001,Redwater H S,19906,2.8,645.0,650.0
2015,19907002,Texas H S,19907,7.6,516.0,525.0
2015,19908001,Liberty-Eylau H S,19908,1.4,480.0,450.0
2015,19912001,Pleasant Grove H S,19912,2.6,660.0,543.0
2015,20901001,Alvin H S,20901,40.4,500.0,486.0
2015,20901002,Manvel H S,20901,60.2,483.0,466.0
2015,20901005,Assets,20901,1.9,385.0,390.0
2015,20902001,Angleton H S,20902,52.4,471.0,461.0
2015,20904001,Danbury H S,20904,63.6,493.0,460.0
2015,20905001,Brazosport H S,20905,39.4,430.0,409.0
2015,20905002,Brazoswood H S,20905,43.0,528.0,513.0
2015,20906002,Sweeny H S,20906,42.4,497.0,486.0
2015,20907001,Columbia H S,20907,36.0,458.0,450.0
2015,20908001,Pearland H S,20908,59.4,529.0,515.0
2015,20908007,Glenda Dawson H S,20908,75.3,546.0,530.0
2015,20908009,Robert Turner College And Career H,20908,57.3,504.0,510.0
2015,21901001,A & M Cons H S,21901,72.5,567.0,542.0
2015,21901002,Center For Alternative Learning,21901,2.8,,
2015,21901003,College Station H S,21901,73.9,538.0,511.0
2015,21902001,Travis B Bryan H S,21902,63.3,475.0,469.0
2015,21902002,James Earl Rudder H S,21902,56.9,458.0,432.0
2015,21902003,Bryan Collegiate H S,21902,100.0,519.0,483.0
2015,22901001,Alpine H S,22901,40.7,497.0,503.0
2015,22902001,Marathon Independent School Dist,22902,66.7,475.0,470.0
2015,23902001,Silverton School,23902,37.5,527.0,457.0
2015,24901001,Falfurrias H S,24901,1.1,,
2015,25901001,Bangs H S,25901,5.3,500.0,493.0
2015,25902001,Brownwood H S,25902,37.6,468.0,453.0
2015,25904001,Blanket School,25904,9.1,,
2015,25905001,May H S,25905,20.0,517.0,507.0
