YEAR,CAMPUS ID,CAMPUS NAME,DISTRICT ID,AP PARTICIPATION RATE
2015,101846001,Harmony Science Academy,101846,18.9
2015,101846003,Harmony School Of Ingenuity,101846,32.8
2015,101858003,Harmony Science Academy - Bryan/Co,101858,41.7
2015,101858004,Harmony School Of Advancement - Hi,101858,59.6
2015,101858005,Harmony School Of Discovery - Hous,101858,56.1
2015,101862002,Harmony School Of Science - Housto,101862,69.0
2015,101862003,Harmony Science Academy - West Hou,101862,55.9
2015,101862004,Harmony Science Academy- Beaumont,101862,48.6
2015,101865003,Victory Preparatory Academy,101865,6.9
2015,101902001,Aldine H S,101902,20.7
2015,101902002,Carver H S For Applied Tech/Engine,101902,39.1
2015,101902003,Macarthur H S,101902,31.8
2015,101902004,Eisenhower H S,101902,14.8
2015,101902005,Nimitz H S,101902,16.3
2015,101902008,Victory Early College H S,101902,17.2
2015,101902012,Davis H S,101902,24.0
2015,101902013,Hall Center For Education,101902,0.5
2015,101903001,Hastings H S,101903,14.8
2015,101903002,Elsik H S,101903,16.3
2015,101903003,Taylor H S,101903,25.4
2015,101903006,Kerr H S,101903,56.8
2015,101903012,Alief Early College H S,101903,18.0
2015,101905001,Channelview H S,101905,26.6
2015,101906001,Crosby H S,101906,14.0
2015,101907002,Cy-Fair High School,101907,25.0
2015,101907003,Jersey Village High School,101907,13.3
2015,101907004,Cypress Creek H S,101907,23.4
2015,101907005,Langham Creek H S,101907,22.1
2015,101907007,Cypress Falls H S,101907,13.4
2015,101907008,Windfern High School,101907,0.5
2015,101907009,Cypress Springs H S,101907,18.5
2015,101907010,Cypress Ridge H S,101907,17.7
2015,101907011,Cypress Woods H S,101907,35.3
2015,101907012,Cypress Ranch H S,101907,27.6
2015,101907013,Cypress Lakes H S,101907,9.9
2015,101908001,Deer Park H S,101908,20.5
2015,101910002,Galena Park H S,101910,11.8
2015,101910003,North Shore Senior High,101910,11.4
2015,101911002,Lee H S,101911,24.8
2015,101911003,Sterling H S,101911,22.0
2015,101911015,Goose Creek Memorial,101911,23.9
2015,101911016,Impact Early College H S,101911,2.4
2015,101912001,Austin H S,101912,36.8
2015,101912002,Bellaire H S,101912,43.3
2015,101912003,Davis H S,101912,31.7
2015,101912004,Furr H S,101912,22.0
2015,101912006,Jones Futures Academy,101912,72.1
2015,101912007,Kashmere H S,101912,18.0
2015,101912008,Lamar H S,101912,32.8
2015,101912009,Lee H S,101912,23.8
2015,101912010,Madison H S,101912,27.5
2015,101912011,Milby H S,101912,25.2
2015,101912012,Reagan H S,101912,50.3
2015,101912014,Sterling H S,101912,25.8
2015,101912015,Waltrip H S,101912,33.5
2015,101912016,Washington B T H S,101912,24.7
2015,101912017,Westbury H S,101912,51.2
2015,101912018,Wheatley H S,101912,17.6
2015,101912019,Worthing H S,101912,22.1
2015,101912020,Yates H S,101912,18.7
2015,101912023,Sharpstown H S,101912,29.2
2015,101912024,Scarborough H S,101912,35.3
2015,101912025,Perfor & Vis Arts H S,101912,61.9
2015,101912026,Debakey H S For Health Prof,101912,89.0
2015,101912027,Chavez H S,101912,27.8
2015,101912033,Jordan H S,101912,48.2
2015,101912034,Law Enfcmt-Crim Just H S,101912,93.5
2015,101912036,Westside H S,101912,41.7
2015,101912057,Lanier Middle,101912,
2015,101912081,Sharpstown International School,101912,50.4
2015,101912100,Texas Connections Academy At Houst,101912,1.9
2015,101912301,Eastwood Academy,101912,71.8
2015,101912308,North Houston Early College H S,101912,73.8
2015,101912310,Houston Math Science And Technolog,101912,40.6
2015,101912311,Mount Carmel Academy,101912,43.2
2015,101912321,Energized For Stem Academy Central,101912,100.0
2015,101912322,Carnegie Vanguard H S,101912,99.7
2015,101912323,Challenge Early College H S,101912,79.6
2015,101912324,Liberty H S,101912,0.2
2015,101912345,East Early College H S,101912,39.5
2015,101912348,Houston Academy For International,101912,49.5
2015,101912455,Energized For Stem Academy West H,101912,94.9
2015,101912458,Mickey Leland College Prep Acad Fo,101912,90.9
2015,101912463,Young Women's College Prep Academy,101912,93.8
