YEAR,CAMPUS ID,ASIAN,NATIVE AMERICAN,BLACK,HISPANIC,HAWAIIAN,TWO RACES,WHITE
2015,34901106.0,4.0,4.0,128.0,29.0,4.0,16.0,180.0
2015,34901001.0,4.0,4.0,177.0,36.0,4.0,12.0,325.0
2015,34901042.0,4.0,4.0,169.0,38.0,0.0,17.0,289.0
2015,34901107.0,4.0,0.0,132.0,24.0,0.0,22.0,170.0
2015,101912041.0,9.0,4.0,337.0,125.0,0.0,4.0,4.0
2015,220905188.0,13.0,4.0,507.0,87.0,0.0,11.0,13.0
2015,61907001.0,5.0,5.0,20.0,98.0,0.0,7.0,450.0
2015,61907041.0,5.0,5.0,19.0,79.0,4.0,5.0,369.0
2015,57916144.0,16.0,4.0,337.0,285.0,4.0,14.0,45.0
2015,108909048.0,0.0,0.0,4.0,1018.0,0.0,0.0,4.0
2015,14906052.0,7.0,4.0,109.0,130.0,7.0,21.0,195.0
2015,161802101.0,4.0,0.0,118.0,53.0,0.0,4.0,28.0
2015,15915178.0,23.0,0.0,11.0,255.0,4.0,22.0,338.0
2015,108909126.0,4.0,0.0,0.0,537.0,0.0,0.0,7.0
2015,101907133.0,58.0,4.0,95.0,254.0,4.0,29.0,567.0
2015,57909041.0,134.0,4.0,112.0,387.0,4.0,30.0,256.0
2015,15907102.0,4.0,0.0,5.0,288.0,0.0,4.0,7.0
2015,227825001.0,0.0,4.0,40.0,355.0,0.0,4.0,13.0
2015,57804006.0,11.0,0.0,39.0,254.0,0.0,4.0,4.0
2015,227821101.0,4.0,0.0,15.0,117.0,0.0,32.0,325.0
2015,205902101.0,4.0,4.0,5.0,362.0,0.0,5.0,98.0
2015,146902101.0,4.0,7.0,62.0,302.0,4.0,15.0,415.0
2015,170902102.0,0.0,10.0,8.0,451.0,0.0,7.0,397.0
2015,57922103.0,178.0,4.0,34.0,58.0,0.0,18.0,211.0
